ORDER_SHOP_CD,Surface_COMMERC,Emplacement_PDV,Coord_L2E_II_X,Coord_L2E_II_Y
20294FE9-1,111.0,CV,1183410.0,1770728.0
44MOBIGUER,71.0,CC,241451.0,2269589.0
57180FU8-5,135.0,CC,876576.0,2490886.0
07MOBITOUR,90.0,CV,796241.0,2010869.0
18MOBIMONT,75.0,CV,612885.0,2191449.0
51PHSESTBR,130.0,CC,721153.0,2477387.0
95880FK8-1,69.0,CV,597782.0,2441312.0
622198GC-5,207.0,CC,595312.0,2638035.0
88100FE1-1,113.0,CV,942222.0,2375426.0
78PHSESART,66.0,CC,589765.0,2438580.0
69317FG4-0,84.0,CV,794059.0,2089451.0
33260D6L-3,130.0,CC,325916.0,1963049.0
33000FT6-A,321.0,CV,369822.0,1986233.0
69MOBIVILL,45.0,CC,785660.0,2113420.0
63PHSETHIE,134.0,CV,691162.0,2093934.0
07PHSEPRIV,37.0,CV,779265.0,1973004.0
95001FP8-1,235.0,CC,581423.0,2449022.0
75006FQ8-5,145.0,CV,599238.0,2427564.0
79000FS1-2,245.0,CV,384534.0,2151029.0
12MOBIVI00,42.0,CV,576077.0,1927574.0
75013FB7-3,70.0,CC,601370.0,2425679.0
62PHSELENS,99.0,CV,635116.0,2603926.0
67000FX1-1,134.0,CC,1000124.0,2410993.0
72MOBILAFL,73.0,CV,419056.0,2302782.0
34980FX1-1,110.0,CC,721504.0,1850877.0
07200FK7-1,148.0,CV,762929.0,1959763.0
69PHSEGIV1,63.0,CC,788560.0,2067704.0
55PHSEBARD,124.0,CV,807587.0,2423240.0
68019FF2-A,167.0,CC,974451.0,2359526.0
01500FG1-5,108.0,CV,834112.0,2111473.0
78PHSEMANT,128.0,CV,554609.0,2443652.0
60PHSECREP,137.0,CV,640148.0,2470866.0
94MOBINOG1,42.0,CV,610900.0,2426530.0
64MOBIPAU2,64.0,CC,381011.0,1816503.0
77340FW7-1,99.0,CC,619989.0,2419739.0
57PHSESTAV,130.0,CV,919321.0,2465080.0
07PHSEAUBE,148.0,CV,762929.0,1959763.0
44PHSEPORN,99.0,CC,261649.0,2245819.0
77APVEPRO1,45.0,CC,845115.0,2191110.0
33PHSELALI,208.0,CC,376670.0,1993364.0
39PHSECHAM,79.0,CV,872882.0,2200086.0
78PHSERAM1,170.0,CC,562468.0,2403361.0
49300FU7-4,70.0,CC,353983.0,2231871.0
06PHSECAGN,65.0,CC,986597.0,1863339.0
06130FH3-2,130.0,CV,973287.0,1858684.0
50009FP2-0,175.0,CV,349463.0,2462869.0
86000FN4-9,140.0,CC,449513.0,2176813.0
29PHSECARH,131.0,CV,161693.0,2380627.0
35760FV1-5,180.0,CC,300000.0,2356312.0
56000W7L-5,80.0,CC,214983.0,2309082.0
35000FV1-7,84.0,CV,301050.0,2353624.0
01210FV3-1,142.0,CV,890893.0,2146673.0
75009GDB-9,96.0,CV,600665.0,2430310.0
83580FP3-4,82.0,CC,945015.0,1815992.0
37PHSEARCH,150.0,CC,476384.0,2271012.0
71PHSECHA1,74.0,CC,790644.0,2202645.0
12PHSEONET,141.0,CC,621180.0,1932424.0
44800FM8-B,125.0,CC,299525.0,2254820.0
35PHSEFOUG,145.0,CC,339394.0,2377823.0
59PHSEFLER,96.0,CC,650587.0,2600438.0
72MOBIALLO,82.0,CC,437227.0,2332783.0
93PHSEMOGA,113.0,CC,607782.0,2429256.0
74MOBIANNA,55.0,CC,902157.0,2140358.0
69008FL7-6,50.0,CV,796896.0,2085898.0
75PHSEPAUL,100.0,CV,601802.0,2428545.0
40019FQ3-4,184.0,CC,373255.0,1877622.0
18MOBICHAR,67.0,CC,603333.0,2234731.0
82MOBIMOIS,60.0,CV,499671.0,1901160.0
22303FW5-2,152.0,CV,173597.0,2430552.0
20PHSECORT,54.0,CV,1163421.0,1724247.0
19MOBIUSEL,73.0,CV,597845.0,2060659.0
27MOBIBERN,71.0,CV,472601.0,2455965.0
58PHSEMARZ,179.0,CC,658437.0,2222312.0
20178FM2-1,101.0,CV,1132164.0,1678783.0
74200FV3-2,103.0,CV,918558.0,2160702.0
05MOBIBRIA,82.0,CV,939541.0,1997684.0
29MOBIPONA,45.0,CV,109869.0,2338866.0
84PHSEAVI1,87.0,CC,803215.0,1883384.0
66PHSEPERP,158.0,CC,644827.0,1740759.0
65015FJ7-1,165.0,CV,416369.0,1805926.0
750086YO-K,200.0,CV,597018.0,2431119.0
59PHSEVALE,149.0,CC,681521.0,2598546.0
78PHSEMABU,55.0,CC,552221.0,2442789.0
13PHSELAZA,162.0,CV,846253.0,1816100.0
22205FW5-1,121.0,CV,195274.0,2410004.0
75PHSTPA05,49.0,CV,600371.0,2427651.0
31600FH2-3,63.0,CV,518084.0,1829162.0
35PHSEREDO,83.0,CV,267995.0,2303706.0
