ORDER_SHOP_CD,volume_total,ca_estime,age_moyen,distance_moyenne,geolife_dominant,emplacement,surface,canal,vol_T,vol_I,vol_M,pct_T,pct_I,pct_M,cout_fonctionnement,marge_estimee,score_rentabilite,rentable,croissance_yoy,vs_mediane,profil_chalandise,decision
06FNACNICE,2,400.0,44.0,,Urbain classe moyenne,,,,0,0,2,0.0,0.0,100.0,65000.0,-64600.0,0.01,False,,-75.0,Inconnu,FERMER
06GTPROANT,166,33200.0,51.3448275862069,,Urbain familial aisé,,,,0,0,166,0.0,0.0,100.0,65000.0,-31800.0,0.51,False,392.9,1975.0,Inconnu,FERMER
06GTPROBEA,43,8600.0,53.21052631578947,,Résidence secondaire,,,,0,1,42,0.0,2.3,97.7,65000.0,-56400.0,0.13,False,86.7,437.5,Inconnu,FERMER
06GTPROCAG,16,3200.0,59.625,,Urbain classe moyenne,,,,0,0,16,0.0,0.0,100.0,65000.0,-61800.0,0.05,False,-100.0,100.0,Inconnu,FERMER
06GTPROMEN,99,19800.0,51.17391304347826,,Résidence secondaire,,,,0,0,99,0.0,0.0,100.0,65000.0,-45200.0,0.3,False,153.6,1137.5,Inconnu,FERMER
06GTPROTRI,46,9200.0,54.85365853658536,,Rural dynamique,,,,0,0,46,0.0,0.0,100.0,65000.0,-55800.0,0.14,False,55.6,475.0,Inconnu,FERMER
06MOBIBOSO,8,1600.0,64.0,,Résidence secondaire,CV,61.0,Réseau Partenaire,0,0,8,0.0,0.0,100.0,65000.0,-63400.0,0.02,False,0.0,0.0,Inconnu,FERMER
06MOBICAG0,4,800.0,66.5,1.837783436548715,Urbain classe moyenne,CV,65.0,Réseau Partenaire,0,0,4,0.0,0.0,100.0,65000.0,-64200.0,0.01,False,0.0,-50.0,Locale (<10km),FERMER
06MOBINIC1,1,200.0,,,Résidence secondaire,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu,FERMER
06MOBITELN,1,200.0,59.0,,Urbain Dynamique,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu,FERMER
06MOBIVENC,1,200.0,59.0,,Urbain classe moyenne,,,Réseau Partenaire,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu,FERMER
06PHSEANTI,1823,364600.0,51.095182820661634,6.546244754334342,Urbain familial aisé,CC,142.0,Réseau Partenaire,710,468,645,38.9,25.7,35.4,85000.0,279600.0,4.29,True,33.7,22687.5,Locale (<10km),DÉVELOPPER
06PHSEBEAU,947,189400.0,48.395973154362416,16.45415633813229,Résidence secondaire,CV,54.0,Réseau Partenaire,406,210,331,42.9,22.2,35.0,65000.0,124400.0,2.91,True,-13.2,11737.5,Semi-locale (10-20km),MAINTENIR
06PHSECAGN,491,98200.0,51.04210526315789,7.2208805787971135,Urbain classe moyenne,CC,65.0,Réseau Partenaire,215,86,190,43.8,17.5,38.7,85000.0,13200.0,1.16,True,-94.9,6037.5,Locale (<10km),MAINTENIR
06PHSEDORE,5,1000.0,59.0,,Pavillonnaire familial,,,Réseau Partenaire,0,0,5,0.0,0.0,100.0,65000.0,-64000.0,0.02,False,50.0,-37.5,Inconnu,FERMER
06PHSEETOI,8,1600.0,65.66666666666667,1.0731428177690596,Urbain classe moyenne,CC,52.0,Réseau Partenaire,0,0,8,0.0,0.0,100.0,85000.0,-83400.0,0.02,False,-66.7,0.0,Locale (<10km),FERMER
06PHSEMENT,1146,229200.0,51.03311867525299,1.8864683424326,Résidence secondaire,CV,107.0,Réseau Partenaire,467,268,411,40.8,23.4,35.9,65000.0,164200.0,3.53,True,37.8,14225.0,Locale (<10km),DÉVELOPPER
06PHSENICE,3,600.0,65.66666666666667,,Rural traditionnel,,,,0,0,3,0.0,0.0,100.0,65000.0,-64400.0,0.01,False,-50.0,-62.5,Inconnu,FERMER
